,url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places,awards_count
245,https://www.goodreads.com/book/show/29999.The_Maltese_Falcon,The Maltese Falcon,Dashiell Hammett,5154,94816,3.9,213,1929,False,"['Mystery', 'Fiction', 'Classics']","Anthony Award Nominee for Best Novel of the Century (2000), Audie Award for Audiobook Adaptation (2010), Grammy Award Nominee for Best Spoken Word Album (2010)",United States,3
246,https://www.goodreads.com/book/show/28251250-white-noise,White Noise,Don DeLillo,5264,89609,3.87,320,1985,False,"['Fiction', 'Classics', 'Literature']","National Book Award for Fiction (1985), National Book Critics Circle Award Nominee for Fiction (1985)",,2
247,https://www.goodreads.com/book/show/776407.The_House_at_Pooh_Corner,The House at Pooh Corner,"A.A. Milne, ",1539,83292,4.36,180,1928,True,"['Classics', 'Childrens', 'Fiction']",Lewis Carroll Shelf Award (1958),,1
248,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,A Heartbreaking Work of Staggering Genius,Dave Eggers,9283,176564,3.68,485,2000,False,"['Fiction', 'Contemporary', 'Literature']","Pulitzer Prize Nominee for General Nonfiction (2001), Guardian First Book Award Nominee (2000), Borders Original Voices Award for Nonfiction (2000), Puddly Award for Memoir (2001)",,4
249,https://www.goodreads.com/book/show/5954.Narcissus_and_Goldmund,Narcissus and Goldmund,"Hermann Hesse, ",2122,47916,4.22,320,1930,False,"['Fiction', 'Classics', 'Philosophy']",Schlegel-Tieck Prize Nominee for Leila Vennewitz (1994),Germany,1
250,https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,"Are You There God? It's Me, Margaret",Judy Blume (Goodreads Author),6814,196718,3.9,149,1970,False,"['Young Adult', 'Fiction', 'Childrens']","Young Hoosier Book Award (1976), Nene Award (1975), North Dakota Children's Choice Award (1979), Golden Archer Award (1974)",United States,4
251,https://www.goodreads.com/book/show/439288.Speak,Speak,Laurie Halse Anderson (Goodreads Author),24118,498832,4.02,202,1999,False,"['Young Adult', 'Fiction', 'Contemporary']","SCBWI Golden Kite Award for Fiction (1999), Edgar Award Nominee for Best Young Adult (2000), Michael L. Printz Award Nominee (2000), South Carolina Book Award for Young Adult Book Award (2002), Rhode Island Teen Book Award Nominee (2001)...moreDorothy Canfield Fisher Children's Book Award Nominee (2001), Evergreen Teen Book Award (2002), Boston Globe-Horn Book Award (2000), California Young Readers Medal Nominee for Young Adult (2003), Lincoln Award Nominee (2005), National Book Award Finalist for Young People's Literature (1999), Oklahoma Sequoyah Award for YA (2002), Margaret A. Edwards Award (2009)...less ",United States,12
252,https://www.goodreads.com/book/show/39662.Different_Seasons,Different Seasons,Stephen King (Goodreads Author),4835,183820,4.34,560,1982,False,"['Horror', 'Fiction', 'Short Stories']",World Fantasy Award Nominee for Best Anthology/Collection (1982),,1
253,https://www.goodreads.com/book/show/11334.Song_of_Solomon,Song of Solomon,Toni Morrison,4216,90772,4.09,337,1977,False,"['Fiction', 'Classics', 'Historical']","Janet Heidinger Kafka Prize (1977), National Book Critics Circle Award for Fiction (1977)",,2
254,https://www.goodreads.com/book/show/12781.The_Satanic_Verses,The Satanic Verses,Salman Rushdie,3839,58410,3.7,561,1988,False,"['Fiction', 'Magical Realism', 'Classics']","Booker Prize Nominee (1988), Whitbread Award for Novel (1988)",United Kingdom,2
